artists/0/external_urls/spotify,artists/0/href,artists/0/id,artists/0/name,artists/0/type,artists/0/uri,disc_number,duration_ms,explicit,external_urls/spotify,href,id,is_local,name,preview_url,track_number,type,uri,artists/1/external_urls/spotify,artists/1/href,artists/1/id,artists/1/name,artists/1/type,artists/1/uri
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,181120,true,https://open.spotify.com/track/5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/tracks/5wTVNpi5WDByxBgKgUE6MU,5wTVNpi5WDByxBgKgUE6MU,false,Supermodel,https://p.scdn.co/mp3-preview/1292e5c18ab2f9f75dd6ca4ce011c733aa0bafea?cid=90ccb367fd954d3fbd50187031285f39,1,track,spotify:track:5wTVNpi5WDByxBgKgUE6MU,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,275080,true,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs,https://api.spotify.com/v1/tracks/0q75NwOoFiARAVp4EXU4Bs,0q75NwOoFiARAVp4EXU4Bs,false,Love Galore (feat. Travis Scott),https://p.scdn.co/mp3-preview/e3f2a5f8e8910d69754b3d80abdeccac3df9077b?cid=90ccb367fd954d3fbd50187031285f39,2,track,spotify:track:0q75NwOoFiARAVp4EXU4Bs,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,266080,true,https://open.spotify.com/track/593W4qZOwwdqF6YnimJjL6,https://api.spotify.com/v1/tracks/593W4qZOwwdqF6YnimJjL6,593W4qZOwwdqF6YnimJjL6,false,Doves In The Wind (feat. Kendrick Lamar),https://p.scdn.co/mp3-preview/607cb83912cafdaefade9ff240670b9e5679edae?cid=90ccb367fd954d3fbd50187031285f39,3,track,spotify:track:593W4qZOwwdqF6YnimJjL6,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,231400,true,https://open.spotify.com/track/06u5LrUpbosQlQ1QJFhPpG,https://api.spotify.com/v1/tracks/06u5LrUpbosQlQ1QJFhPpG,06u5LrUpbosQlQ1QJFhPpG,false,Drew Barrymore,https://p.scdn.co/mp3-preview/98893dda53ce0bba3995394a3ac7cd4fccec7b7e?cid=90ccb367fd954d3fbd50187031285f39,4,track,spotify:track:06u5LrUpbosQlQ1QJFhPpG,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,196133,true,https://open.spotify.com/track/5yvhdo8FXbBsIllxv2Rr94,https://api.spotify.com/v1/tracks/5yvhdo8FXbBsIllxv2Rr94,5yvhdo8FXbBsIllxv2Rr94,false,Prom,https://p.scdn.co/mp3-preview/428c9bf13664d161c71f4e250eca99e7f9744ef4?cid=90ccb367fd954d3fbd50187031285f39,5,track,spotify:track:5yvhdo8FXbBsIllxv2Rr94,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,272186,true,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,6gU9OKjOE7ghfEd55oRO57,false,The Weekend,https://p.scdn.co/mp3-preview/4671d1aa1268202225a569c0cfb029ff6e5b8e90?cid=90ccb367fd954d3fbd50187031285f39,6,track,spotify:track:6gU9OKjOE7ghfEd55oRO57,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,161613,true,https://open.spotify.com/track/6Vmow8PuUaU7W1T2WWLZk2,https://api.spotify.com/v1/tracks/6Vmow8PuUaU7W1T2WWLZk2,6Vmow8PuUaU7W1T2WWLZk2,false,Go Gina,https://p.scdn.co/mp3-preview/51af99e464c523d7075230d2eb17ea1e6d6756c0?cid=90ccb367fd954d3fbd50187031285f39,7,track,spotify:track:6Vmow8PuUaU7W1T2WWLZk2,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,208400,true,https://open.spotify.com/track/19woxaSpjOefa2JnAOoqW5,https://api.spotify.com/v1/tracks/19woxaSpjOefa2JnAOoqW5,19woxaSpjOefa2JnAOoqW5,false,Garden (Say It Like Dat),https://p.scdn.co/mp3-preview/f40b0d1877a05175b6d3e57407a215f7517828eb?cid=90ccb367fd954d3fbd50187031285f39,8,track,spotify:track:19woxaSpjOefa2JnAOoqW5,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,231253,true,https://open.spotify.com/track/2fXwCWkh6YG5zU1IyvQrbs,https://api.spotify.com/v1/tracks/2fXwCWkh6YG5zU1IyvQrbs,2fXwCWkh6YG5zU1IyvQrbs,false,Broken Clocks,https://p.scdn.co/mp3-preview/31432e1f5ec59bd56c4dd83a5b6e5b468d4fbc2c?cid=90ccb367fd954d3fbd50187031285f39,9,track,spotify:track:2fXwCWkh6YG5zU1IyvQrbs,,,,,,
https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,SZA,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,149320,true,https://open.spotify.com/track/0336UwEBwBBao8uWCuugYr,https://api.spotify.com/v1/tracks/0336UwEBwBBao8uWCuugYr,0336UwEBwBBao8uWCuugYr,false,Anything,https://p.scdn.co/mp3-preview/784929a3f8979f1445f5a5ecf22ed693e8bdddd9?cid=90ccb367fd954d3fbd50187031285f39,10,track,spotify:track:0336UwEBwBBao8uWCuugYr,,,,,,
